==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-19: [W=95, H=30, L=85]
Item-Item3D-20: [W=16, H=71, L=92]
Item-Item3D-21: [W=19, H=90, L=95]
Item-Item3D-22: [W=29, H=66, L=82]
Item-Item3D-23: [W=31, H=26, L=6]
Item-Item3D-24: [W=19, H=93, L=87]
Item-Item3D-25: [W=36, H=77, L=73]
Item-Item3D-26: [W=42, H=66, L=82]
Item-Item3D-27: [W=66, H=20, L=68]
Item-Item3D-28: [W=23, H=67, L=80]
Item-Item3D-29: [W=94, H=62, L=60]
Item-Item3D-30: [W=4, H=94, L=94]
Item-Item3D-31: [W=29, H=84, L=82]
Item-Item3D-32: [W=47, H=87, L=67]
Item-Item3D-33: [W=29, H=75, L=84]
Item-Item3D-34: [W=14, H=86, L=77]
Item-Item3D-35: [W=30, H=42, L=18]
Item-Item3D-36: [W=26, H=50, L=39]
Item-Item3D-37: [W=7, H=94, L=85]
Item-Item3D-38: [W=35, H=89, L=85]
Item-Item3D-39: [W=69, H=12, L=75]
Item-Item3D-40: [W=20, H=67, L=81]
Item-Item3D-41: [W=9, H=95, L=82]
Item-Item3D-42: [W=1, H=97, L=78]
Item-Item3D-43: [W=12, H=75, L=93]
Item-Item3D-44: [W=50, H=100, L=99]
Item-Item3D-45: [W=45, H=84, L=76]
Item-Item3D-46: [W=56, H=98, L=62]
Item-Item3D-47: [W=70, H=71, L=56]
Item-Item3D-48: [W=7, H=73, L=95]
Item-Item3D-49: [W=42, H=22, L=19]
Item-Item3D-50: [W=96, H=95, L=14]

Test 3 (Type 2, n=50)
Item-Item3D-1: [W=28, H=2, L=36]
Item-Item3D-2: [W=29, H=14, L=44]
Item-Item3D-3: [W=39, H=16, L=35]
Item-Item3D-4: [W=36, H=79, L=80]
Item-Item3D-5: [W=44, H=95, L=72]
Item-Item3D-6: [W=45, H=92, L=85]
Item-Item3D-7: [W=49, H=85, L=96]
Item-Item3D-8: [W=25, H=94, L=73]
Item-Item3D-9: [W=37, H=67, L=91]
Item-Item3D-10: [W=21, H=80, L=99]
Item-Item3D-11: [W=29, H=83, L=83]
Item-Item3D-12: [W=89, H=28, L=98]
Item-Item3D-13: [W=16, H=78, L=88]
Item-Item3D-14: [W=6, H=94, L=71]
Item-Item3D-15: [W=83, H=96, L=48]
Item-Item3D-16: [W=43, H=76, L=85]
Item-Item3D-17: [W=71, H=14, L=77]
Item-Item3D-18: [W=22, H=74, L=83]
Item-Item3D-19: [W=16, H=90, L=73]
Item-Item3D-20: [W=24, H=77, L=86]
Item-Item3D-21: [W=19, H=95, L=87]
Item-Item3D-22: [W=6, H=92, L=100]
Item-Item3D-23: [W=86, H=95, L=47]
Item-Item3D-24: [W=40, H=75, L=69]
Item-Item3D-25: [W=59, H=66, L=88]
Item-Item3D-26: [W=41, H=69, L=98]
Item-Item3D-27: [W=82, H=87, L=74]
Item-Item3D-28: [W=41, H=86, L=70]
Item-Item3D-29: [W=88, H=77, L=75]
Item-Item3D-30: [W=76, H=83, L=18]
Item-Item3D-31: [W=19, H=5, L=50]
Item-Item3D-32: [W=84, H=38, L=74]
Item-Item3D-33: [W=45, H=96, L=83]
Item-Item3D-34: [W=32, H=79, L=97]
Item-Item3D-35: [W=87, H=87, L=11]
Item-Item3D-36: [W=15, H=98, L=81]
Item-Item3D-37: [W=88, H=14, L=97]
Item-Item3D-38: [W=72, H=40, L=91]
Item-Item3D-39: [W=72, H=92, L=30]
Item-Item3D-40: [W=39, H=29, L=24]
Item-Item3D-41: [W=14, H=88, L=88]
Item-Item3D-42: [W=95, H=81, L=91]
Item-Item3D-43: [W=62, H=78, L=50]
Item-Item3D-44: [W=70, H=87, L=15]
Item-Item3D-45: [W=15, H=24, L=33]
Item-Item3D-46: [W=55, H=55, L=73]
Item-Item3D-47: [W=31, H=32, L=10]
Item-Item3D-48: [W=38, H=84, L=92]
Item-Item3D-49: [W=76, H=47, L=89]
Item-Item3D-50: [W=20, H=75, L=69]

Test 4 (Type 2, n=50)
Item-Item3D-1: [W=97, H=74, L=100]
Item-Item3D-2: [W=77, H=66, L=48]
Item-Item3D-3: [W=25, H=23, L=24]
Item-Item3D-4: [W=30, H=87, L=79]
Item-Item3D-5: [W=41, H=85, L=82]
Item-Item3D-6: [W=16, H=93, L=98]
Item-Item3D-7: [W=99, H=94, L=11]
Item-Item3D-8: [W=100, H=54, L=79]
Item-Item3D-9: [W=10, H=99, L=81]
Item-Item3D-10: [W=68, H=84, L=97]
Item-Item3D-11: [W=14, H=80, L=85]
Item-Item3D-12: [W=19, H=73, L=70]
Item-Item3D-13: [W=23, H=76, L=90]
Item-Item3D-14: [W=99, H=49, L=71]
Item-Item3D-15: [W=14, H=71, L=89]
Item-Item3D-16: [W=72, H=3, L=88]
Item-Item3D-17: [W=8, H=30, L=8]
Item-Item3D-18: [W=40, H=67, L=80]
Item-Item3D-19: [W=16, H=92, L=78]
Item-Item3D-20: [W=71, H=81, L=26]
Item-Item3D-21: [W=39, H=72, L=88]
Item-Item3D-22: [W=45, H=70, L=74]
Item-Item3D-23: [W=29, H=97, L=97]
Item-Item3D-24: [W=21, H=90, L=76]
Item-Item3D-25: [W=3, H=66, L=83]
Item-Item3D-26: [W=85, H=41, L=70]
Item-Item3D-27: [W=68, H=60, L=90]
Item-Item3D-28: [W=43, H=91, L=71]
Item-Item3D-29: [W=86, H=94, L=67]
Item-Item3D-30: [W=37, H=78, L=95]
Item-Item3D-31: [W=21, H=44, L=29]
Item-Item3D-32: [W=41, H=23, L=14]
Item-Item3D-33: [W=7, H=73, L=80]
Item-Item3D-34: [W=27, H=79, L=88]
Item-Item3D-35: [W=44, H=33, L=49]
Item-Item3D-36: [W=41, H=67, L=82]
Item-Item3D-37: [W=5, H=87, L=68]
Item-Item3D-38: [W=94, H=62, L=76]
Item-Item3D-39: [W=30, H=89, L=98]
Item-Item3D-40: [W=25, H=70, L=66]
Item-Item3D-41: [W=49, H=71, L=66]
Item-Item3D-42: [W=18, H=95, L=89]
Item-Item3D-43: [W=28, H=85, L=66]
Item-Item3D-44: [W=72, H=10, L=96]
Item-Item3D-45: [W=41, H=97, L=95]
Item-Item3D-46: [W=80, H=67, L=1]
Item-Item3D-47: [W=100, H=23, L=66]
Item-Item3D-48: [W=56, H=51, L=89]
Item-Item3D-49: [W=44, H=5, L=18]
Item-Item3D-50: [W=41, H=25, L=40]

Test 5 (Type 2, n=50)
Item-Item3D-1: [W=88, H=96, L=19]
Item-Item3D-2: [W=24, H=73, L=68]
Item-Item3D-3: [W=47, H=84, L=99]
Item-Item3D-4: [W=25, H=89, L=97]
Item-Item3D-5: [W=33, H=81, L=67]
Item-Item3D-6: [W=15, H=90, L=92]
Item-Item3D-7: [W=100, H=66, L=70]
Item-Item3D-8: [W=1, H=11, L=25]
Item-Item3D-9: [W=34, H=18, L=35]
Item-Item3D-10: [W=20, H=100, L=87]
Item-Item3D-11: [W=16, H=67, L=69]
Item-Item3D-12: [W=99, H=72, L=11]
Item-Item3D-13: [W=24, H=99, L=88]
Item-Item3D-14: [W=47, H=69, L=88]
Item-Item3D-15: [W=35, H=83, L=94]
Item-Item3D-16: [W=84, H=78, L=43]
Item-Item3D-17: [W=77, H=46, L=92]
Item-Item3D-18: [W=43, H=95, L=77]
Item-Item3D-19: [W=81, H=73, L=30]
Item-Item3D-20: [W=57, H=92, L=84]
Item-Item3D-21: [W=29, H=87, L=94]
Item-Item3D-22: [W=25, H=84, L=93]
Item-Item3D-23: [W=89, H=69, L=44]
Item-Item3D-24: [W=84, H=16, L=84]
Item-Item3D-25: [W=14, H=76, L=79]
Item-Item3D-26: [W=65, H=52, L=75]
Item-Item3D-27: [W=38, H=94, L=97]
Item-Item3D-28: [W=36, H=94, L=99]
Item-Item3D-29: [W=85, H=74, L=48]
Item-Item3D-30: [W=52, H=63, L=82]
Item-Item3D-31: [W=29, H=86, L=76]
Item-Item3D-32: [W=91, H=72, L=30]
Item-Item3D-33: [W=72, H=97, L=48]
Item-Item3D-34: [W=43, H=68, L=67]
Item-Item3D-35: [W=1, H=78, L=81]
Item-Item3D-36: [W=71, H=55, L=64]
Item-Item3D-37: [W=74, H=96, L=26]
Item-Item3D-38: [W=95, H=88, L=94]
Item-Item3D-39: [W=42, H=98, L=66]
Item-Item3D-40: [W=21, H=70, L=94]
Item-Item3D-41: [W=54, H=88, L=50]
Item-Item3D-42: [W=1, H=97, L=67]
Item-Item3D-43: [W=8, H=70, L=78]
Item-Item3D-44: [W=83, H=45, L=66]
Item-Item3D-45: [W=71, H=56, L=96]
Item-Item3D-46: [W=89, H=76, L=35]
Item-Item3D-47: [W=12, H=95, L=91]
Item-Item3D-48: [W=9, H=72, L=82]
Item-Item3D-49: [W=83, H=77, L=36]
Item-Item3D-50: [W=72, H=11, L=90]

Test 6 (Type 2, n=50)
Item-Item3D-1: [W=47, H=99, L=88]
Item-Item3D-2: [W=45, H=95, L=87]
Item-Item3D-3: [W=90, H=22, L=92]
Item-Item3D-4: [W=97, H=7, L=73]
Item-Item3D-5: [W=99, H=30, L=80]
Item-Item3D-6: [W=33, H=83, L=76]
Item-Item3D-7: [W=43, H=73, L=69]
Item-Item3D-8: [W=20, H=71, L=74]
Item-Item3D-9: [W=17, H=97, L=78]
Item-Item3D-10: [W=99, H=94, L=82]
Item-Item3D-11: [W=1, H=79, L=100]
Item-Item3D-12: [W=49, H=90, L=68]
Item-Item3D-13: [W=30, H=38, L=18]
Item-Item3D-14: [W=16, H=98, L=86]
Item-Item3D-15: [W=43, H=72, L=95]
Item-Item3D-16: [W=77, H=76, L=51]
Item-Item3D-17: [W=44, H=67, L=70]
Item-Item3D-18: [W=13, H=88, L=85]
Item-Item3D-19: [W=45, H=88, L=74]
Item-Item3D-20: [W=42, H=100, L=99]
Item-Item3D-21: [W=25, H=82, L=79]
Item-Item3D-22: [W=43, H=47, L=44]
Item-Item3D-23: [W=30, H=92, L=86]
Item-Item3D-24: [W=38, H=80, L=100]
Item-Item3D-25: [W=11, H=84, L=74]
Item-Item3D-26: [W=33, H=87, L=76]
Item-Item3D-27: [W=46, H=75, L=81]
Item-Item3D-28: [W=34, H=89, L=66]
Item-Item3D-29: [W=19, H=73, L=67]
Item-Item3D-30: [W=7, H=75, L=67]
Item-Item3D-31: [W=15, H=98, L=91]
Item-Item3D-32: [W=47, H=86, L=95]
Item-Item3D-33: [W=50, H=73, L=74]
Item-Item3D-34: [W=44, H=18, L=2]
Item-Item3D-35: [W=85, H=78, L=93]
Item-Item3D-36: [W=27, H=88, L=96]
Item-Item3D-37: [W=14, H=68, L=88]
Item-Item3D-38: [W=10, H=79, L=97]
Item-Item3D-39: [W=4, H=96, L=95]
Item-Item3D-40: [W=11, H=76, L=72]
Item-Item3D-41: [W=7, H=81, L=89]
Item-Item3D-42: [W=67, H=97, L=99]
Item-Item3D-43: [W=100, H=9, L=82]
Item-Item3D-44: [W=16, H=96, L=73]
Item-Item3D-45: [W=90, H=72, L=30]
Item-Item3D-46: [W=1, H=99, L=88]
Item-Item3D-47: [W=3, H=100, L=94]
Item-Item3D-48: [W=23, H=66, L=89]
Item-Item3D-49: [W=15, H=92, L=80]
Item-Item3D-50: [W=36, H=72, L=86]

Test 7 (Type 2, n=50)
Item-Item3D-1: [W=26, H=89, L=67]
Item-Item3D-2: [W=31, H=50, L=42]
Item-Item3D-3: [W=27, H=48, L=49]
Item-Item3D-4: [W=25, H=95, L=84]
Item-Item3D-5: [W=36, H=88, L=92]
Item-Item3D-6: [W=14, H=41, L=31]
Item-Item3D-7: [W=55, H=86, L=69]
Item-Item3D-8: [W=27, H=46, L=42]
Item-Item3D-9: [W=3, H=91, L=83]
Item-Item3D-10: [W=18, H=98, L=75]
Item-Item3D-11: [W=13, H=69, L=90]
Item-Item3D-12: [W=99, H=48, L=77]
Item-Item3D-13: [W=18, H=70, L=71]
Item-Item3D-14: [W=63, H=70, L=66]
Item-Item3D-15: [W=50, H=73, L=67]
Item-Item3D-16: [W=90, H=78, L=94]
Item-Item3D-17: [W=70, H=17, L=99]
Item-Item3D-18: [W=4, H=90, L=85]
Item-Item3D-19: [W=82, H=79, L=83]
Item-Item3D-20: [W=75, H=99, L=37]
Item-Item3D-21: [W=71, H=62, L=99]
Item-Item3D-22: [W=41, H=81, L=76]
Item-Item3D-23: [W=6, H=95, L=87]
Item-Item3D-24: [W=48, H=86, L=77]
Item-Item3D-25: [W=89, H=94, L=11]
Item-Item3D-26: [W=30, H=74, L=85]
Item-Item3D-27: [W=17, H=84, L=81]
Item-Item3D-28: [W=71, H=14, L=93]
Item-Item3D-29: [W=47, H=89, L=79]
Item-Item3D-30: [W=42, H=46, L=30]
Item-Item3D-31: [W=14, H=80, L=80]
Item-Item3D-32: [W=19, H=70, L=97]
Item-Item3D-33: [W=27, H=77, L=67]
Item-Item3D-34: [W=1, H=75, L=99]
Item-Item3D-35: [W=6, H=92, L=77]
Item-Item3D-36: [W=44, H=91, L=84]
Item-Item3D-37: [W=27, H=91, L=74]
Item-Item3D-38: [W=80, H=98, L=19]
Item-Item3D-39: [W=6, H=82, L=94]
Item-Item3D-40: [W=87, H=50, L=88]
Item-Item3D-41: [W=48, H=94, L=77]
Item-Item3D-42: [W=28, H=72, L=83]
Item-Item3D-43: [W=12, H=3, L=29]
Item-Item3D-44: [W=80, H=83, L=25]
Item-Item3D-45: [W=30, H=84, L=85]
Item-Item3D-46: [W=69, H=95, L=55]
Item-Item3D-47: [W=12, H=89, L=74]
Item-Item3D-48: [W=46, H=84, L=83]
Item-Item3D-49: [W=85, H=72, L=8]
Item-Item3D-50: [W=81, H=89, L=44]

Test 8 (Type 2, n=50)
Item-Item3D-1: [W=9, H=73, L=71]
Item-Item3D-2: [W=21, H=78, L=89]
Item-Item3D-3: [W=8, H=87, L=95]
Item-Item3D-4: [W=4, H=39, L=3]
Item-Item3D-5: [W=42, H=71, L=79]
Item-Item3D-6: [W=6, H=74, L=80]
Item-Item3D-7: [W=33, H=10, L=12]
Item-Item3D-8: [W=48, H=78, L=94]
Item-Item3D-9: [W=9, H=24, L=38]
Item-Item3D-10: [W=28, H=90, L=87]
Item-Item3D-11: [W=3, H=76, L=94]
Item-Item3D-12: [W=37, H=85, L=87]
Item-Item3D-13: [W=21, H=99, L=85]
Item-Item3D-14: [W=78, H=68, L=18]
Item-Item3D-15: [W=95, H=84, L=41]
Item-Item3D-16: [W=80, H=44, L=72]
Item-Item3D-17: [W=6, H=66, L=100]
Item-Item3D-18: [W=45, H=66, L=80]
Item-Item3D-19: [W=34, H=70, L=86]
Item-Item3D-20: [W=21, H=83, L=98]
Item-Item3D-21: [W=2, H=80, L=99]
Item-Item3D-22: [W=2, H=74, L=73]
Item-Item3D-23: [W=100, H=65, L=50]
Item-Item3D-24: [W=47, H=19, L=23]
Item-Item3D-25: [W=30, H=96, L=91]
Item-Item3D-26: [W=97, H=94, L=92]
Item-Item3D-27: [W=16, H=78, L=86]
Item-Item3D-28: [W=18, H=76, L=83]
Item-Item3D-29: [W=2, H=96, L=74]
Item-Item3D-30: [W=22, H=67, L=99]
Item-Item3D-31: [W=42, H=96, L=91]
Item-Item3D-32: [W=76, H=29, L=97]
Item-Item3D-33: [W=8, H=74, L=86]
Item-Item3D-34: [W=46, H=87, L=84]
Item-Item3D-35: [W=6, H=70, L=72]
Item-Item3D-36: [W=30, H=75, L=96]
Item-Item3D-37: [W=47, H=66, L=82]
Item-Item3D-38: [W=48, H=73, L=76]
Item-Item3D-39: [W=98, H=83, L=1]
Item-Item3D-40: [W=43, H=86, L=98]
Item-Item3D-41: [W=97, H=99, L=17]
Item-Item3D-42: [W=1, H=99, L=92]
Item-Item3D-43: [W=80, H=17, L=69]
Item-Item3D-44: [W=19, H=81, L=95]
Item-Item3D-45: [W=29, H=19, L=44]
Item-Item3D-46: [W=4, H=75, L=88]
Item-Item3D-47: [W=8, H=76, L=74]
Item-Item3D-48: [W=26, H=78, L=68]
Item-Item3D-49: [W=34, H=85, L=72]
Item-Item3D-50: [W=7, H=90, L=67]

Test 9 (Type 2, n=50)
Item-Item3D-1: [W=11, H=78, L=84]
Item-Item3D-2: [W=12, H=72, L=93]
Item-Item3D-3: [W=14, H=87, L=93]
Item-Item3D-4: [W=30, H=46, L=36]
Item-Item3D-5: [W=14, H=99, L=80]
Item-Item3D-6: [W=45, H=97, L=99]
Item-Item3D-7: [W=60, H=51, L=61]
Item-Item3D-8: [W=45, H=87, L=77]
Item-Item3D-9: [W=14, H=94, L=70]
Item-Item3D-10: [W=36, H=75, L=75]
Item-Item3D-11: [W=6, H=89, L=100]
Item-Item3D-12: [W=33, H=72, L=80]
Item-Item3D-13: [W=47, H=100, L=89]
Item-Item3D-14: [W=14, H=83, L=66]
Item-Item3D-15: [W=30, H=89, L=84]
Item-Item3D-16: [W=70, H=81, L=8]
Item-Item3D-17: [W=61, H=67, L=80]
Item-Item3D-18: [W=47, H=74, L=83]
Item-Item3D-19: [W=99, H=42, L=94]
Item-Item3D-20: [W=13, H=80, L=70]
Item-Item3D-21: [W=47, H=67, L=77]
Item-Item3D-22: [W=28, H=21, L=48]
Item-Item3D-23: [W=23, H=68, L=67]
Item-Item3D-24: [W=18, H=76, L=89]
Item-Item3D-25: [W=26, H=5, L=9]
Item-Item3D-26: [W=11, H=90, L=89]
Item-Item3D-27: [W=19, H=35, L=37]
Item-Item3D-28: [W=13, H=75, L=96]
Item-Item3D-29: [W=47, H=18, L=48]
Item-Item3D-30: [W=72, H=32, L=70]
Item-Item3D-31: [W=26, H=17, L=4]
Item-Item3D-32: [W=70, H=23, L=93]
Item-Item3D-33: [W=100, H=14, L=85]
Item-Item3D-34: [W=21, H=91, L=99]
Item-Item3D-35: [W=40, H=92, L=82]
Item-Item3D-36: [W=68, H=76, L=41]
Item-Item3D-37: [W=44, H=24, L=17]
Item-Item3D-38: [W=26, H=94, L=87]
Item-Item3D-39: [W=17, H=96, L=73]
Item-Item3D-40: [W=38, H=68, L=91]
Item-Item3D-41: [W=47, H=25, L=29]
Item-Item3D-42: [W=37, H=81, L=99]
Item-Item3D-43: [W=94, H=99, L=50]
Item-Item3D-44: [W=49, H=43, L=29]
Item-Item3D-45: [W=4, H=99, L=76]
Item-Item3D-46: [W=94, H=66, L=51]
Item-Item3D-47: [W=29, H=76, L=75]
Item-Item3D-48: [W=12, H=70, L=91]
Item-Item3D-49: [W=81, H=88, L=44]
Item-Item3D-50: [W=22, H=78, L=94]

Test 10 (Type 2, n=50)
Item-Item3D-1: [W=50, H=67, L=96]
Item-Item3D-2: [W=47, H=83, L=97]
Item-Item3D-3: [W=84, H=73, L=5]
Item-Item3D-4: [W=81, H=68, L=46]
Item-Item3D-5: [W=90, H=89, L=63]
Item-Item3D-6: [W=45, H=74, L=89]
Item-Item3D-7: [W=41, H=93, L=77]
Item-Item3D-8: [W=10, H=95, L=94]
Item-Item3D-9: [W=5, H=89, L=82]
Item-Item3D-10: [W=29, H=90, L=90]
Item-Item3D-11: [W=15, H=100, L=79]
Item-Item3D-12: [W=79, H=6, L=76]
Item-Item3D-13: [W=50, H=96, L=74]
Item-Item3D-14: [W=46, H=95, L=77]
Item-Item3D-15: [W=13, H=38, L=33]
Item-Item3D-16: [W=4, H=93, L=78]
Item-Item3D-17: [W=12, H=69, L=95]
Item-Item3D-18: [W=39, H=66, L=89]
Item-Item3D-19: [W=25, H=99, L=92]
Item-Item3D-20: [W=21, H=21, L=9]
Item-Item3D-21: [W=41, H=75, L=87]
Item-Item3D-22: [W=25, H=87, L=95]
Item-Item3D-23: [W=11, H=88, L=68]
Item-Item3D-24: [W=95, H=79, L=82]
Item-Item3D-25: [W=99, H=71, L=35]
Item-Item3D-26: [W=66, H=38, L=95]
Item-Item3D-27: [W=25, H=8, L=9]
Item-Item3D-28: [W=41, H=68, L=72]
Item-Item3D-29: [W=83, H=36, L=99]
Item-Item3D-30: [W=18, H=88, L=74]
Item-Item3D-31: [W=84, H=98, L=35]
Item-Item3D-32: [W=78, H=45, L=78]
Item-Item3D-33: [W=32, H=82, L=99]
Item-Item3D-34: [W=3, H=96, L=91]
Item-Item3D-35: [W=26, H=95, L=76]
Item-Item3D-36: [W=23, H=77, L=89]
Item-Item3D-37: [W=10, H=71, L=77]
Item-Item3D-38: [W=42, H=71, L=70]
Item-Item3D-39: [W=98, H=33, L=81]
Item-Item3D-40: [W=86, H=97, L=90]
Item-Item3D-41: [W=30, H=96, L=80]
Item-Item3D-42: [W=9, H=90, L=86]
Item-Item3D-43: [W=6, H=76, L=78]
Item-Item3D-44: [W=84, H=40, L=78]
Item-Item3D-45: [W=49, H=90, L=100]
Item-Item3D-46: [W=58, H=51, L=56]
Item-Item3D-47: [W=18, H=82, L=76]
Item-Item3D-48: [W=73, H=8, L=97]
Item-Item3D-49: [W=6, H=48, L=21]
Item-Item3D-50: [W=70, H=15, L=68]

---- Test Type: 3 : 100 100 100 ----
Test 1 (Type 3, n=50)
Item-Item3D-1: [W=73, H=82, L=77]
Item-Item3D-2: [W=72, H=47, L=77]
Item-Item3D-3: [W=85, H=13, L=70]
Item-Item3D-4: [W=49, H=86, L=66]
Item-Item3D-5: [W=96, H=24, L=92]
Item-Item3D-6: [W=70, H=46, L=86]
Item-Item3D-7: [W=71, H=5, L=81]
Item-Item3D-8: [W=97, H=42, L=71]
Item-Item3D-9: [W=98, H=20, L=67]
Item-Item3D-10: [W=73, H=15, L=93]
Item-Item3D-11: [W=92, H=68, L=33]
Item-Item3D-12: [W=82, H=40, L=97]
Item-Item3D-13: [W=100, H=40, L=82]
Item-Item3D-14: [W=96, H=79, L=25]
Item-Item3D-15: [W=91, H=43, L=93]
Item-Item3D-16: [W=68, H=42, L=77]
Item-Item3D-17: [W=75, H=41, L=93]
Item-Item3D-18: [W=75, H=72, L=78]
Item-Item3D-19: [W=79, H=39, L=95]
Item-Item3D-20: [W=74, H=29, L=82]
Item-Item3D-21: [W=77, H=67, L=52]
Item-Item3D-22: [W=97, H=34, L=91]
Item-Item3D-23: [W=82, H=66, L=6]
Item-Item3D-24: [W=97, H=21, L=75]
Item-Item3D-25: [W=50, H=90, L=56]
Item-Item3D-26: [W=89, H=33, L=73]
Item-Item3D-27: [W=41, H=6, L=50]
Item-Item3D-28: [W=36, H=49, L=35]
Item-Item3D-29: [W=95, H=91, L=67]
Item-Item3D-30: [W=29, H=82, L=90]
Item-Item3D-31: [W=32, H=87, L=76]
Item-Item3D-32: [W=83, H=11, L=70]
Item-Item3D-33: [W=79, H=49, L=75]
Item-Item3D-34: [W=88, H=2, L=81]
Item-Item3D-35: [W=80, H=7, L=68]
Item-Item3D-36: [W=32, H=11, L=40]
Item-Item3D-37: [W=91, H=34, L=67]
Item-Item3D-38: [W=33, H=47, L=1]
Item-Item3D-39: [W=73, H=3, L=70]
Item-Item3D-40: [W=33, H=85, L=78]
Item-Item3D-41: [W=45, H=34, L=43]
Item-Item3D-42: [W=74, H=84, L=80]
Item-Item3D-43: [W=72, H=30, L=71]
Item-Item3D-44: [W=69, H=89, L=32]
Item-Item3D-45: [W=6, H=49, L=15]
Item-Item3D-46: [W=47, H=77, L=88]
Item-Item3D-47: [W=88, H=24, L=80]
Item-Item3D-48: [W=76, H=30, L=91]
Item-Item3D-49: [W=100, H=18, L=93]
Item-Item3D-50: [W=84, H=86, L=46]

Test 2 (Type 3, n=50)
Item-Item3D-1: [W=81, H=27, L=90]
Item-Item3D-2: [W=66, H=47, L=97]
Item-Item3D-3: [W=94, H=7, L=72]
Item-Item3D-4: [W=95, H=95, L=16]
Item-Item3D-5: [W=95, H=46, L=97]
Item-Item3D-6: [W=74, H=14, L=87]
Item-Item3D-7: [W=86, H=20, L=80]
Item-Item3D-8: [W=87, H=68, L=82]
Item-Item3D-9: [W=89, H=71, L=40]
Item-Item3D-10: [W=79, H=26, L=87]
Item-Item3D-11: [W=94, H=36, L=77]
Item-Item3D-12: [W=70, H=19, L=99]
Item-Item3D-13: [W=41, H=100, L=95]
Item-Item3D-14: [W=92, H=23, L=92]
Item-Item3D-15: [W=72, H=66, L=51]
Item-Item3D-16: [W=99, H=9, L=93]
Item-Item3D-17: [W=99, H=15, L=82]
Item-Item3D-18: [W=86, H=33, L=99]
Item-Item3D-19: [W=69, H=49, L=84]
Item-Item3D-20: [W=99, H=40, L=92]
Item-Item3D-21: [W=79, H=99, L=10]
Item-Item3D-22: [W=70, H=21, L=77]
Item-Item3D-23: [W=82, H=4, L=100]
Item-Item3D-24: [W=50, H=91, L=69]
Item-Item3D-25: [W=94, H=9, L=70]
Item-Item3D-26: [W=15, H=85, L=92]
Item-Item3D-27: [W=100, H=11, L=73]
Item-Item3D-28: [W=84, H=92, L=6]
Item-Item3D-29: [W=6, H=81, L=92]
Item-Item3D-30: [W=83, H=31, L=85]
Item-Item3D-31: [W=75, H=74, L=22]
Item-Item3D-32: [W=12, H=26, L=32]
Item-Item3D-33: [W=96, H=19, L=91]
Item-Item3D-34: [W=46, H=44, L=37]
Item-Item3D-35: [W=74, H=19, L=70]
Item-Item3D-36: [W=40, H=32, L=27]
Item-Item3D-37: [W=85, H=3, L=94]
Item-Item3D-38: [W=90, H=31, L=75]
Item-Item3D-39: [W=29, H=46, L=17]
Item-Item3D-40: [W=88, H=79, L=59]
Item-Item3D-41: [W=90, H=38, L=100]
Item-Item3D-42: [W=68, H=30, L=97]
Item-Item3D-43: [W=89, H=47, L=80]
Item-Item3D-44: [W=89, H=7, L=85]
Item-Item3D-45: [W=76, H=48, L=77]
Item-Item3D-46: [W=77, H=15, L=81]
Item-Item3D-47: [W=4, H=94, L=95]
Item-Item3D-48: [W=84, H=37, L=69]
Item-Item3D-49: [W=69, H=53, L=71]
Item-Item3D-50: [W=85, H=83, L=22]

Test 3 (Type 3, n=50)
Item-Item3D-1: [W=96, H=22, L=88]
Item-Item3D-2: [W=85, H=33, L=73]
Item-Item3D-3: [W=93, H=21, L=82]
Item-Item3D-4: [W=83, H=83, L=56]
Item-Item3D-5: [W=67, H=25, L=69]
Item-Item3D-6: [W=34, H=5, L=4]
Item-Item3D-7: [W=73, H=46, L=96]
Item-Item3D-8: [W=91, H=46, L=93]
Item-Item3D-9: [W=85, H=31, L=87]
Item-Item3D-10: [W=80, H=83, L=47]
Item-Item3D-11: [W=30, H=100, L=83]
Item-Item3D-12: [W=89, H=41, L=71]
Item-Item3D-13: [W=73, H=99, L=19]
Item-Item3D-14: [W=81, H=11, L=91]
Item-Item3D-15: [W=75, H=31, L=72]
Item-Item3D-16: [W=84, H=29, L=84]
Item-Item3D-17: [W=93, H=91, L=12]
Item-Item3D-18: [W=80, H=70, L=52]
Item-Item3D-19: [W=29, H=99, L=80]
Item-Item3D-20: [W=12, H=34, L=11]
Item-Item3D-21: [W=72, H=91, L=47]
Item-Item3D-22: [W=74, H=6, L=78]
Item-Item3D-23: [W=15, H=81, L=67]
Item-Item3D-24: [W=64, H=68, L=64]
Item-Item3D-25: [W=5, H=8, L=13]
Item-Item3D-26: [W=86, H=91, L=16]
Item-Item3D-27: [W=96, H=90, L=67]
Item-Item3D-28: [W=91, H=40, L=88]
Item-Item3D-29: [W=79, H=31, L=69]
Item-Item3D-30: [W=13, H=73, L=70]
Item-Item3D-31: [W=78, H=13, L=86]
Item-Item3D-32: [W=96, H=84, L=16]
Item-Item3D-33: [W=65, H=85, L=67]
Item-Item3D-34: [W=94, H=2, L=90]
Item-Item3D-35: [W=75, H=94, L=29]
Item-Item3D-36: [W=17, H=87, L=93]
Item-Item3D-37: [W=84, H=17, L=81]
Item-Item3D-38: [W=96, H=45, L=75]
Item-Item3D-39: [W=42, H=11, L=9]
